title,congress_id,first_name,last_name,chamber,district,state,party,facebook_url,twitter_handle,member_level,signed_letter_count,voted_with_bma_count,legislation
Rep. Jim Banks,B001299,Jim,Banks,rep,3,IN,R,https://www.facebook.com/RepJimBanks,@RepJimBanks,supporter,,,
Rep. Andy Barr,B001282,Andy,Barr,rep,6,KY,R,https://www.facebook.com/RepAndyBarr/,@RepAndyBarr,supporter,,,
Rep. Ami Bera,B001287,Ami,Bera,rep,7,CA,D,https://www.facebook.com/RepAmiBera/,@RepBera,supporter,,,
Rep. Jack Bergman,B001301,Jack,Bergman,rep,1,MI,R,https://www.facebook.com/RepJackBergman/,@RepJackBergman,supporter,,,
Rep. Andy Biggs,B001302,Andy,Biggs,rep,5,AZ,R,https://www.facebook.com/RepAndyBiggs/,@RepAndyBiggsAZ,supporter,,,
Rep. Gus Bilirakis,B001257,Gus,Bilirakis,rep,12,FL,R,https://www.facebook.com/GusBilirakis,@RepGusBilirakis,supporter,,,
Rep. Rob Bishop,B001250,Rob,Bishop,rep,1,UT,R,https://www.facebook.com/RepRobBishop/,@RepRobBishop,supporter,,,
Rep. Earl Blumenauer,B000574,Earl,Blumenauer,rep,3,OR,D,https://www.facebook.com/blumenauer/,@repblumenauer,champion,,,2019 MA Rate Notice Crash Letter;;Lead circulator
Rep. Suzanne Bonamici,B001278,Suzanne,Bonamici,rep,1,OR,D,https://www.facebook.com/CongresswomanBonamici/,@RepBonamici,supporter,,,
Rep. Mike Bost,B001295,Mike,Bost,rep,12,IL,R,https://www.facebook.com/RepBost/,@RepBost,supporter,,,
Rep. Brendan Boyle,B001296,Brendan,Boyle,rep,2,PA,D,https://www.facebook.com/CongressmanBoyle/,@RepBrendanBoyle,supporter,,,
Rep. Anthony Brindisi,B001308,Anthony,Brindisi,rep,22,NY,D,https://www.facebook.com/RepBrindisi/,@RepBrindisi,supporter,,,
Rep. Susan Brooks,B001284,Susan,Brooks,rep,5,IN,R,https://www.facebook.com/CongresswomanSusanWBrooks/,@SusanWBrooks,supporter,,,
Rep. Anthony Brown,B001304,Anthony,Brown,rep,4,MD,D,https://www.facebook.com/RepAnthonyBrown/,@RepAnthonyBrown,supporter,,,
Rep. Julia Brownley,B001285,Julia,Brownley,rep,26,CA,D,https://www.facebook.com/RepJuliaBrownley/,@RepBrownley,supporter,,,
